000001a0,72,"「室戸先輩、すみません、
　俺、用事を思い出して…。
　学校へ戻らないと」","","",""
00000248,22,"「そうなの？　大変ね」","","",""
000002f0,18,"「じゃあ、またね」","","",""
00000338,14,"「失礼します」","","",""
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","","",""
00000444,28,"「そうなの？　大変じゃない」","","",""
000004fc,38,"「じゃあ、気をつけて戻ってね。またね」","","",""
00000338,14,"「失礼します」","","",""
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","","",""
000006a4,24,"「…そう、気をつけてね」","","",""
00000700,12,"「じゃあね」","","",""
00000338,14,"「失礼します」","","",""
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","","",""
00000848,18,"「…そう、残念ね」","","",""
000002f0,18,"「じゃあ、またね」","","",""
00000338,14,"「失礼します」","","",""
000009b4,86,"「室戸先輩、すみません！
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","","",""
00000248,22,"「そうなの？　大変ね」","","",""
00000b10,32,"「じゃあ、気をつけてね。またね」","","",""
00000ba8,14,"「ええ、また」","","",""
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","","",""
00000248,22,"「そうなの？　大変ね」","","",""
000002f0,18,"「じゃあ、またね」","","",""
00000338,14,"「失礼します」","","",""
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","","",""
00000444,28,"「そうなの？　大変じゃない」","","",""
000004fc,38,"「じゃあ、気をつけて戻ってね。またね」","","",""
00000338,14,"「失礼します」","","",""
