0000004c,34,"「あ、あそこにいるのは、新見さん」","","",""
000000b8,47,"（このところ、あんまり話してない気が
　するな）","","",""
00000104,10,"声をかける","","",""
00000118,12,"写真を見せる","","",""
00000130,12,"声をかけない","","",""
00000240,49,"「あ、\p01君。
　何だか、久しぶりに話す気がする」","","",""
00000310,14,"（やっぱり…）","","",""
00000430,32,"「その…ちょっと話せないかな？」","","",""
000004bc,14,"「えっ、今？」","","",""
00000578,22,"「う、うん…いいわよ」","","",""
00000430,32,"「その…ちょっと話せないかな？」","","",""
0000068c,62,"「うん、いいわよ。
　私も\p01君と話したいなって
　思ってたの」","","",""
00000430,32,"「その…ちょっと話せないかな？」","","",""
000004bc,14,"「えっ、今？」","","",""
000008c8,36,"「ごめんね、ちょっと恥ずかしいから」","","",""
00000958,14,"「そ、そっか」","","",""
000009b8,26,"「じゃあ、またね、\p01君」","","",""
00000a08,16,"「ああ、また…」","","",""
00000b00,40,"（もっと会うようにしないと、ダメだよな）","","",""
00000430,32,"「その…ちょっと話せないかな？」","","",""
00000bd8,49,"「あ……ごめんね、
　今はちょっと用事があって…」","","",""
00000958,14,"「そ、そっか」","","",""
00000d24,18,"「じゃあ…またね」","","",""
00000b00,40,"（もっと会うようにしないと、ダメだよな）","","",""
00000fc4,36,"「新見さん、今、ちょっといいかな？」","","",""
00001044,14,"「あ、\p01君」","","",""
000010ec,12,"「なぁに？」","","",""
00001124,34,"「その…ちょっと話せないかなって」","","",""
000004bc,14,"「えっ、今？」","","",""
00000578,22,"「う、うん…いいわよ」","","",""
00000fc4,36,"「新見さん、今、ちょっといいかな？」","","",""
00001044,14,"「あ、\p01君」","","",""
000010ec,12,"「なぁに？」","","",""
00001124,34,"「その…ちょっと話せないかなって」","","",""
0000068c,62,"「うん、いいわよ。
　私も\p01君と話したいなって
　思ってたの」","","",""
00000fc4,36,"「新見さん、今、ちょっといいかな？」","","",""
00001044,14,"「あ、\p01君」","","",""
000010ec,12,"「なぁに？」","","",""
00001124,34,"「その…ちょっと話せないかなって」","","",""
000004bc,14,"「えっ、今？」","","",""
000008c8,36,"「ごめんね、ちょっと恥ずかしいから」","","",""
00000958,14,"「そ、そっか」","","",""
000009b8,26,"「じゃあ、またね、\p01君」","","",""
00000a08,16,"「ああ、また…」","","",""
00000fc4,36,"「新見さん、今、ちょっといいかな？」","","",""
00001044,14,"「あ、\p01君」","","",""
000010ec,12,"「なぁに？」","","",""
00001124,34,"「その…ちょっと話せないかなって」","","",""
00001cd8,10,"「え……」","","",""
00001d48,40,"「ごめんね、今はちょっと用事があって…」","","",""
00000958,14,"「そ、そっか」","","",""
00001e48,26,"「また話しかけて、お願い」","","",""
00001ecc,12,"「あ、ああ」","","",""
00001f38,28,"「きっとよ。じゃあ、またね」","","",""
00000fc4,36,"「新見さん、今、ちょっといいかな？」","","",""
00001044,14,"「あ、\p01君」","","",""
000010ec,12,"「なぁに？」","","",""
00002188,57,"「その…俺の撮った写真、
　ちょっと見てくれないかなって」","","",""
00002220,36,"「うん、見る見る！　見せて見せて！」","","",""
000022d8,47,"（新見…さんと話すのは、
　また今度でいいよな）","","",""
