000001a0,72,"「室戸先輩、すみません、
　俺、用事を思い出して…。
　学校へ戻らないと」","Muroto seniors, I don't know, I'm sorry, I
remember the things for me. School","Мурото старший, я не знаю, я сожалею, я помню
вещи для меня. Школа","Muroto Senioren, ich weiß nicht, es tut mir
leid, ich erinnere mich an die Dinge für mich.
Schule"
00000248,22,"「そうなの？　大変ね」","“Well, it’s hard.”","— Ну, это трудно. »","„Nun, es ist schwer. „"
000002f0,18,"「じゃあ、またね」","Yes, I'm again.","- Да, я снова.","Ja, ich bin wieder."
00000338,14,"「失礼します」","I'm sorry.","- Прости.","Es tut mir leid."
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","Muroto seniors, I don't know, I remember a
little thing. School","«Мурото старший, я не знаю, я помню немного.
Школа","Muroto Senioren, ich weiß nicht, ich erinnere
mich an etwas. Schule"
00000444,28,"「そうなの？　大変じゃない」","“Is it?”","— Это? »","„Ist es? „"
000004fc,38,"「じゃあ、気をつけて戻ってね。またね」","Yes, please come back. Comment","- Да, пожалуйста, вернитесь. Комментарий","Ja, bitte komm zurück. Anmerkung"
00000338,14,"「失礼します」","I'm sorry.","- Прости.","Es tut mir leid."
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","Muroto seniors, I don't know, I remember a
little thing. School","«Мурото старший, я не знаю, я помню немного.
Школа","Muroto Senioren, ich weiß nicht, ich erinnere
mich an etwas. Schule"
000006a4,24,"「…そう、気をつけてね」","…Yes, be careful.","- Да, будьте осторожны.","…ja, sei vorsichtig."
00000700,12,"「じゃあね」","」","」","!"
00000338,14,"「失礼します」","I'm sorry.","- Прости.","Es tut mir leid."
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","Muroto seniors, I don't know, I remember a
little thing. School","«Мурото старший, я не знаю, я помню немного.
Школа","Muroto Senioren, ich weiß nicht, ich erinnere
mich an etwas. Schule"
00000848,18,"「…そう、残念ね」","…so, sorry","…так, извините","…so, sorry"
000002f0,18,"「じゃあ、またね」","Yes, I'm again.","- Да, я снова.","Ja, ich bin wieder."
00000338,14,"「失礼します」","I'm sorry.","- Прости.","Es tut mir leid."
000009b4,86,"「室戸先輩、すみません！
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","Muroto seniors, I do not know! I remember a
little things. School","Мурото старший, я не знаю! Я помню немного.
Школа","Muroto Senioren, ich weiß es nicht! Ich erinnere
mich an etwas. Schule"
00000248,22,"「そうなの？　大変ね」","“Well, it’s hard.”","— Ну, это трудно. »","„Nun, es ist schwer. „"
00000b10,32,"「じゃあ、気をつけてね。またね」","Yes, be careful. Comment","- Да, будьте осторожны. Комментарий","Ja, sei vorsichtig. Anmerkung"
00000ba8,14,"「ええ、また」","」","」","!"
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","Muroto seniors, I don't know, I remember a
little thing. School","«Мурото старший, я не знаю, я помню немного.
Школа","Muroto Senioren, ich weiß nicht, ich erinnere
mich an etwas. Schule"
00000248,22,"「そうなの？　大変ね」","“Well, it’s hard.”","— Ну, это трудно. »","„Nun, es ist schwer. „"
000002f0,18,"「じゃあ、またね」","Yes, I'm again.","- Да, я снова.","Ja, ich bin wieder."
00000338,14,"「失礼します」","I'm sorry.","- Прости.","Es tut mir leid."
00000390,86,"「室戸先輩、すみません、
　俺、ちょっと用事を思い出しちゃって…。
　学校へ戻らないと」","Muroto seniors, I don't know, I remember a
little thing. School","«Мурото старший, я не знаю, я помню немного.
Школа","Muroto Senioren, ich weiß nicht, ich erinnere
mich an etwas. Schule"
00000444,28,"「そうなの？　大変じゃない」","“Is it?”","— Это? »","„Ist es? „"
000004fc,38,"「じゃあ、気をつけて戻ってね。またね」","Yes, please come back. Comment","- Да, пожалуйста, вернитесь. Комментарий","Ja, bitte komm zurück. Anmerkung"
00000338,14,"「失礼します」","I'm sorry.","- Прости.","Es tut mir leid."
