000001d8,36,"（ん？　写真部のドアが少し開いてる）","(Hmm? The door of the photo part is a little
closer)","(Хмм? Дверь фоточасть немного ближе)","(Hmm? Die Tür des Fototeils ist etwas näher)"
0000024c,32,"（不用心だなぁ、誰かいるのか？）","(Is it unsuitable?)","(Не подходит?)","(Ist es ungeeignet?)"
0000039c,16,"「あ、九堂先輩」","Oh, Kudo seniors","О, Кудо старшие","Oh, Kudo Senioren"
000003ec,16,"「あ、九堂部長」","Oh, Director of Kudo","«О, директор Кудо»","Oh, Direktor von Kudo"
000005dc,92,"「風の噂で聞いたぞ。
　うちの部員も顔負けの、芸術な
　写真を撮りまくっているそうじゃないか」","I heard it by wind rumors. I think our staff are
taking pictures that are artistic and unfamiliar.","Я слышал это по ветровым слухам. Я думаю, что
наши сотрудники фотографируют, что художественные
и незнакомые.","Ich hörte es von Windrügern. Ich denke, unsere
Mitarbeiter machen Bilder, die künstlerisch und
nicht vertraut sind."
000006b0,22,"「そ、そんなことは…」","“What is that?”","— Что это? »","„Was ist das? „"
00000720,78,"「隠さなくてもいい。
　同じカメラを愛好する部の部長として、
　誇らしく思うぞ」","“I don’t have to hide it.” I am proud to be the
head of the world that loves the same camera.","- Мне не нужно скрывать его. Я горжусь тем, что
глава мира любит ту же камеру».","„Ich muss es nicht verstecken.“ Ich bin stolz,
der Kopf der Welt zu sein, die dieselbe Kamera
liebt."
00000840,94,"「風の噂で聞いたぞ。
　カメラ紳士にふさわしい、芸術な
　写真を撮りまくっているそうじゃないか」","I heard it by wind rumors. It seems that you are
taking artistic photos that are suitable for
camera gentlemen.","Я слышал это по ветровым слухам. Кажется, вы
делаете художественные фотографии, которые
подходят для джентльменов камеры.","Ich hörte es von Windrügern. Es scheint, dass Sie
künstlerische Fotos machen, die für Kameramänner
geeignet sind."
000006b0,22,"「そ、そんなことは…」","“What is that?”","— Что это? »","„Was ist das? „"
00000978,55,"「隠さなくてもいい。部長として、
　私も誇らしく思うぞ」","“I don’t have to hide it.” I am proud of it as a
manager.","- Мне не нужно скрывать его. Я горжусь им как
менеджер.","„Ich muss es nicht verstecken.“ Ich bin stolz
darauf als Manager."
00000a68,100,"「君がこれからも、もっとギリギリで、
　もっとエロティックな写真が撮れるよう、
　アドバイスを贈ろう」","You will continue to give advice so that you can
take more agile and more erotic photos.","Вы будете продолжать давать советы, чтобы вы
могли принимать более гибкие и более эротические
фотографии.","Sie werden weiterhin Ratschläge geben, damit Sie
agilere und erotische Fotos machen können."
00000b80,12,"「これだ！」","!」","!」","!"
