00000108,40,"「ごめんなさい、用事を思い出しちゃって」","","",""
00000194,8,"「え？」","","",""
00000208,34,"「私、行かなきゃ。またね、\p01君」","","",""
00000368,32,"（もっと、うまく撮らないとな…）","","",""
000003f4,42,"「ごめんね、用事があるの思い出しちゃった」","","",""
00000194,8,"「え？」","","",""
00000208,34,"「私、行かなきゃ。またね、\p01君」","","",""
00000368,32,"（もっと、うまく撮らないとな…）","","",""
000006c4,49,"「…ごめんなさい、用事があるのを
　思い出して…」","","",""
00000194,8,"「え？」","","",""
000007b0,28,"「私…行かなきゃ。…またね」","","",""
000008e8,18,"「あ…新見さん…」","","",""
00000368,32,"（もっと、うまく撮らないとな…）","","",""
000003f4,42,"「ごめんね、用事があるの思い出しちゃった」","","",""
00000194,8,"「え？」","","",""
00000abc,45,"「私…行かなきゃ。
　…その、またね、\p01君」","","",""
000008e8,18,"「あ…新見さん…」","","",""
00000368,32,"（もっと、うまく撮らないとな…）","","",""
00000d08,40,"「あ…私、用事があるの思い出しちゃった」","","",""
00000194,8,"「え？」","","",""
00000e04,45,"「撮影の途中にごめんね。
　また…ね、\p01君」","","",""
00000eb8,14,"「あ、ああ…」","","",""
00000368,32,"（もっと、うまく撮らないとな…）","","",""
