00000148,38,"教室のあちこちに、人の輪ができている。","There are circles of people around the classroom.","Вокруг класса стоят кружки людей.","Um den Klassenraum bilden sich Kreise von Menschen."
000002f4,22,"「おはよー、みんな！」","Good morning, everyone!","Доброе утро всем!","Guten Morgen, alle zusammen!"
0000032c,40,"「きゃー、きたきた！　おはよー、遙佳ぁ」","Cha, I came! Good morning, Haruka","Ча, я пришел! Доброе утро, Харука","Cha, ich bin gekommen! Guten Morgen, Haruka"
00000378,14,"「おはよー！」","good morning!","доброе утро!","Guten Morgen!"
000003b4,36,"「会いたかったよー！　久しぶりー！」","I wanted to meet you! It's been a long time!","Я хотел встретиться с вами! Это было давно!","Ich wollte dich treffen! Es ist lange her!"
00000458,28,"「うんうん、元気してたー？」","Yeah, how are you?","Да как ты?","Ja wie geht es dir?"
000004d0,14,"「元気元気！」","I'm fine!","Я в порядке!","Es geht mir gut!"
00000594,40,"「ううん、どこも。ずっと部活だったから」","Yeah, everywhere. I've been a club activity for a long time.","«Да, везде. Я давно работаю в клубе».","Ja, überall. Ich bin schon lange eine Clubaktivität."
00000640,22,"「そっか、テニス部か」","Is it the tennis club?","— Это теннисный клуб?","Ist es der Tennisclub?"
00000684,24,"「その割に焼けてないね」","It's not burnt for that.","Это не сожжено для этого.","Dafür ist es nicht verbrannt."
000007f4,34,"「うんうん、遙佳は白い方がいいよ」","Yeah, Haruka should be white.","«Да, Харука должна быть белой».","Ja, Haruka sollte weiß sein."
0000087c,12,"「なんで？」","why?","Почему?","warum?"
00000924,34,"「あはは、そこまでは焼かないって」","Ah, I won't bake that much.","Ах, я не буду печь так много.","Ah, ich werde nicht so viel backen."
00000fa8,16,"「お、おはよう」","Good morning","Доброе утро","Guten Morgen"
0000100c,34,"「久しぶりね。夏休みどうしてた？」","It's been a long time. What happened to your summer vacation?","Это было давно. Что случилось с твоими летними каникулами?","Es ist lange her. Was ist aus deinen Sommerferien geworden?"
000010a4,36,"「…なんとなくダラダラ過ごしてたよ」","… I was spending somehow.","… я как-то тратил.","… ich habe irgendwie Geld ausgegeben."
000010f8,10,"「そっか」","I see","Я понимаю","Aha"
0000115c,8,"「……」","「……」","「……」","「……」"
0000138c,36,"「その机の上のカメラ、どうしたの？」","What happened to the camera on that desk?","«Что случилось с камерой на том столе?»","Was ist mit der Kamera auf diesem Schreibtisch passiert?"
000016f0,8,"「え？」","e?","Э?","e?"
0000175c,36,"「かのちゃんと一緒でいいから。ね？」","It's okay to be with Kano-chan, right?","— Это нормально быть с Кано-тян, верно?","Es ist okay, mit Kano-chan zusammen zu sein, richtig?"
00001808,14,"「あ、ああ…」","Oh, oh …","Ой ой …","Ach, ach…"
00001854,32,"「約束よ。じゃあ、またあとでね」","Promise. See you later.","«Обещаю. Увидимся позже».","„Versprochen. Bis später.“"
000018d8,16,"「ああ、また…」","Oh, again …","О, опять…","Ach, schon wieder …"
000019e8,22,"「おはよー、深角さん」","Good morning, Mr. Fukakaku","Доброе утро, мистер Фукакаку","Guten Morgen, Herr Fukakaku"
00001a2c,14,"「…おはよう」","…good morning","…доброе утро","…Guten Morgen"
00001a68,28,"「久しぶりー、元気してた？」","It's been a long time, how are you doing?","— Прошло много времени, как дела?","Es ist lange her, wie geht es dir?"
00001aa8,14,"「え、ええ…」","Yeah, yeah …","Ага-ага …","Ja ja …"
00001ae4,42,"「夏休み、何かあった？　聞かせて聞かせて」","What happened during the summer vacation? Let me know.","«Что случилось во время летних каникул? Дайте мне знать».","„Was ist in den Sommerferien passiert? Lass es mich wissen.“"
000000b8,96,"日に焼けた顔や、そうでもない顔。
夏休みの出来事を自慢げに話す者に、
それを面倒くさそうに聞く者。","A tanned face or a face that isn't.
To those who proudly talk about the events of summer vacation
Those who listen to it annoyingly.","Загорелое лицо или лицо, которое не загорело.
Тем, кто с гордостью рассказывает о событиях летних каникул
Те, кто слушает это раздражает.","Ein gebräuntes Gesicht oder ein Gesicht, das es nicht ist.
An diejenigen, die stolz über die Ereignisse der Sommerferien sprechen
Diejenigen, die es ärgerlich hören."
0000019c,61,"俺は挨拶もそこそこに、机に鞄を置き、
１人の女子を捜していた。","I put a bag on the desk with greetings all right,
I was looking for a girl.","Я положил сумку на стол с приветом все в порядке,
Я искал девушку.","Ich habe eine Tasche mit Grüßen auf den Schreibtisch gestellt, alles klar,
Ich suchte ein Mädchen."
00000208,102,"小学校のころから同じ学校に通う幼なじみ。
近所に住んでいるというのに、
あまり話せなくなってしまった…。","A childhood friend who has been attending the same school since elementary school.
Even though I live in the neighborhood
I can't talk much …","Друг детства, который ходит в ту же школу с начальной школы.
Хотя я живу по соседству
Я не могу много говорить…","Ein Jugendfreund, der seit der Grundschule dieselbe Schule besucht.
Obwohl ich in der Nachbarschaft wohne
Ich kann nicht viel reden …"
0000050c,61,"「遙佳、変わってなーい。
　夏休み何してた？　どっか行った？」","Haruka, it hasn't changed.
What were you doing during the summer vacation? Did you go somewhere? ","- Харука, ничего не изменилось.
Что вы делали во время летних каникул? Вы куда-то ходили? ","„Haruka, es hat sich nicht geändert.
Was hast du in den Sommerferien gemacht? Bist du irgendwo hingegangen? "
