000000c4,63,"「あ、\p01君、ごめんなさい。
　家庭科室に忘れ物したみたいで…」","","",""
000001a0,8,"「え？」","","",""
000001fc,53,"「取りに戻りたいから、
　先に帰ってもらってもいい？」","","",""
000002a8,14,"「そ、そっか」","","",""
00000308,18,"「じゃあ、またね」","","",""
00000350,12,"「…またね」","","",""
00000444,40,"（イマイチ、盛り上がってなかったからな）","","",""
000004f4,65,"「あ、\p01君、ごめんね、
　家庭科室に忘れ物しちゃったみたいで…」","","",""
000001a0,8,"「え？」","","",""
000001fc,53,"「取りに戻りたいから、
　先に帰ってもらってもいい？」","","",""
000002a8,14,"「そ、そっか」","","",""
00000308,18,"「じゃあ、またね」","","",""
00000350,12,"「…またね」","","",""
00000444,40,"（イマイチ、盛り上がってなかったからな）","","",""
0000091c,18,"「あ…私ったら…」","","",""
00000998,16,"「どうかした？」","","",""
000009fc,51,"「それが…家庭科室に
　忘れ物しちゃったみたいで…」","","",""
000001a0,8,"「え？」","","",""
000001fc,53,"「取りに戻りたいから、
　先に帰ってもらってもいい？」","","",""
00000bbc,12,"「あ、ああ」","","",""
00000c28,28,"「ごめんね…じゃあ、またね」","","",""
00000350,12,"「…またね」","","",""
00000444,40,"（イマイチ、盛り上がってなかったからな）","","",""
00000e54,22,"「あ……ごめんなさい」","","",""
00000998,16,"「どうかした？」","","",""
00000f44,57,"「それが、その…家庭科室に
　忘れ物しちゃったみたいで…」","","",""
000001a0,8,"「え？」","","",""
000001fc,53,"「取りに戻りたいから、
　先に帰ってもらってもいい？」","","",""
00000bbc,12,"「あ、ああ」","","",""
0000116c,18,"「じゃあ…またね」","","",""
00000350,12,"「…またね」","","",""
00000444,40,"（イマイチ、盛り上がってなかったからな）","","",""
