000000c4,22,"「はうぅぅ…\p01君…」","","",""
00000108,16,"「どうかした？」","","",""
00000154,30,"「どうかした…じゃなくてぇ…」","","",""
00000208,53,"「どうして…そんな、恥ずかしいことばかり
　言うの？」","","",""
000002b4,8,"「え？」","","",""
0000031c,22,"「そ、それじゃあね！」","","",""
0000040c,22,"「あ！　柚ノ木さん！」","","",""
00000450,59,"（空気読まずに、恥ずかしい話や、
　行動ばかりしすぎたか…）","","",""
000004e8,28,"「はうぅぅ…\p01君ってば…」","","",""
00000108,16,"「どうかした？」","","",""
000005c0,65,"「どうかした…じゃないわよぉ。
　恥ずかしいことばっかり言ってぇ」","","",""
0000031c,22,"「そ、それじゃあね！」","","",""
0000040c,22,"「あ！　柚ノ木さん！」","","",""
00000450,59,"（空気読まずに、恥ずかしい話や、
　行動ばかりしすぎたか…）","","",""
000008c8,24,"「あうぅ…恥ずかしぃぃ」","","",""
00000108,16,"「どうかした？」","","",""
000009c4,49,"「うぅ…\p01君のバカァ。
　変な話ばっかりしてぇ」","","",""
0000031c,22,"「そ、それじゃあね！」","","",""
0000040c,22,"「あ！　柚ノ木さん！」","","",""
00000450,59,"（空気読まずに、恥ずかしい話や、
　行動ばかりしすぎたか…）","","",""
00000c84,30,"「あうぅぅ……も、もう無理…」","","",""
00000108,16,"「どうかした？」","","",""
00000154,30,"「どうかした…じゃなくてぇ…」","","",""
00000e48,80,"「うぅ…\p01君のバカァ。
　そんなことばっかり言われたら…
　恥ずかしいんだから」","","",""
0000031c,22,"「そ、それじゃあね！」","","",""
0000040c,22,"「あ！　柚ノ木さん！」","","",""
00000450,59,"（空気読まずに、恥ずかしい話や、
　行動ばかりしすぎたか…）","","",""
