003e923c,22,真面目,Earnest,Серьезный,Ernst
003e9252,22,お人好し,Friendly,Дружелюбный,Freundlich
003e9268,22,食いしん坊,Gourmand,Гурман,Gourmet
003e927e,22,やんちゃ,Naughty,Шаловливый,Frech
003e9294,22,遊び上手,Playfulness,Игривый,Spielerisch
003e92aa,22,エッチ,Lustful,Похотливый,Lustvoll
00531e14,12,前田　　,Ｍｅｄａ,Meda,Ｍｅｄａ
00531e24,12,一也　　,Ｋａｚｕ,Kazu,Ｋａｚｕ
00579f90,44,システムデータがありません。,There is no system data.,Системные данные отсутствуют.,Es sind keine Systemdaten vorhanden.
00579fbc,48,このままゲームを開始しますか？,Start game anyway?,Начать игру?,Starte das Spiel?
00579cc0,76,本ゲームは大容量のセーブデータを利用しますので、,"This game uses a large amount of data,","Эта игра использует большой объем данных,","Dieses Spiel verwendet eine große Datenmenge,"
00579d0c,40,快適にプレイするためには、,it`s recommended to use a SD of,для комфортной игры рекомендуется,"Es wird empfhln, SD von zu verwenden"
00579d34,80,８Ｇバイト以上の記録メディアの利用を推奨いたします。,8 GB or more to play comfortably.,использовать SD объемом 8 Гб или более.,8 GB oder mehr für komfortables Spielen.
00531eec,40,名前を入力してください。,Please enter your name.,Укажите имя персонажа.,Bitte geben Sie Ihren Namen ein.
00531f30,40,この名前でよろしいですか？,Is this name correct?,Имя указано правильно?,Ist dieser Name richtig?
00531f58,40,性格を入力してください。,Please enter your personality.,Укажите свою индивидуальность.,Bitte geben Sie Ihre Persönlichkeit ein
00579f5c,52,システムデータをロードしました。,System data loaded.,Загружены системные данные.,Systemdaten geladen.
00579f24,56,システムデータをチェックしています。,Checking system data.,Проверка системных данных.,Überprüfung der Systemdaten.
00557070,28,メッセージウェイト,Message auto speed,Авто. скорость диалога,Nachricht AutoGeschwndgkeit
005570ac,28,未読文章のスキップ,Skip unread text,Пропуск непроч. текстов,Unglsenen Text überspringen
0055708c,32,音声の再生終了を待つ,Wait for the end of audio,Ожидать окончания воспр. звука,Warten Sie auf Ende des Tons
00557134,40,外れの？話題を黒く表示する,Lags? Show topic in black,Зависает? Отображать темы черным,hinkt? Thema in Schwarz anzeigen
00557118,28,アンチエイリアス,Antialiasing,Сглаживание,Kantenglättung
005570f0,40,うさパワー変身シーンカット,Use scene cut,Обрезать сцены,Szenenschnitt verwenden
005570c8,40,写真データのオートセーブ,Auto save photos,Автосохр. фотоданных,Fotos automatisch speichern
00557054,28,メッセージスピード,Message speed,Скорость диалога,Nachrichtengeschwindigkeit
00579ecc,36,本体の電源を切ったり、,Don`t turn off the power,"Не отключайте систему,",
00556ebc,16,リバース,reverse,инверсия,umkehren
00556eac,16,ノーマル,normal,обычная,normal
00556ed0,4,縦,vrt,врт,
00556ecc,4,横,nxt,рдм,
00556ae0,16,ダック表示,Duck display,Отображать утку,Ente zeigen
00556abc,36,フォトセッションカメラ,Photo session,Фотосессии,Fototermin
00431180,74,ウキウキすることなにかない？,Is there a reason for joy?,Есть ли повод для радости?,Gibt es einen Grund zur Freude?
004311cc,74,ドキドキすること感じたい？,Do you want to feel the thrill?,Вы хотите почувствовать острые ощущения?,
00431218,74,つまんないなんて　言っちゃダメ,Don't say it's boring.,"Не говорите, что это скучно.",
00431264,74,変わらないなんて　夢がない,It's a dream that nothing has changed.,"Это сон, в котором ничего не изменилось.",
004312b0,74,願いはかなうよ　それがマジック,"Wishes come true, it's magic.","Желания сбываются, это волшебство.",
004312fc,74,夢　希望　そしてラブ,"Dreams, hopes and love.","Мечты, надежды и любовь.",
